feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,bag_label,instance_name,bag_name,bag_cnn_prediction,bag_cnn_probability
-3.1700194,0.7972363,-1.8929935,0.75317895,-0.28780726,0.84156203,-5.1022496,0.6230471,0.55149853,0.5713962,0.9215818,3.5035827,4.6603823,-0.7114906,0.547242,3.122749,3.6307726,1.2487038,-0.47117397,0.9210901,4.3088226,0.16815525,4.6267147,-0.4575556,0.28295466,0.92605746,-0.8787789,-3.8134096,-1.1748152,-0.60591877,-0.8472836,0.5992436,0,CT-101_slide_0,CQ500-CT-101,1,0.79806612
-2.1977794,0.21575718,-1.316973,0.86136097,-0.8504569,1.1500381,-3.5866375,0.5403789,0.22487006,0.83699375,0.941531,2.543546,3.3671024,-1.0949879,0.88033247,2.1086268,2.5979185,0.80999017,-0.7617626,0.5144097,2.9509964,0.40326646,3.3002925,-0.8499747,0.49869338,1.1250858,-0.9289729,-2.8487303,-1.1529526,-0.46211025,-0.87832814,0.018524025,0,CT-101_slide_1,CQ500-CT-101,1,0.79806612
-4.4954767,0.7752519,-2.6035652,1.2889751,-0.8172811,1.5340767,-7.1738696,0.6941228,0.45114848,0.9809021,1.3513191,4.9836774,6.5666585,-1.3732709,1.1259652,4.3572826,5.1676965,1.4912708,-0.685839,1.1360449,6.112958,0.44963247,6.632275,-0.9686241,0.53927094,1.5451124,-1.3180351,-5.3442903,-1.7894511,-0.5840838,-1.5192513,0.4469026,0,CT-101_slide_2,CQ500-CT-101,1,0.79806612
-5.349681,0.8177605,-3.1536672,1.5609387,-1.0697805,1.9295244,-8.666959,0.8582417,0.418167,1.2242876,1.6100968,6.0384626,7.8844223,-1.7559874,1.4155415,5.1938,6.276763,1.7451006,-0.7943189,1.2272928,7.4645257,0.5265084,8.130516,-1.2718078,0.57869065,1.9624318,-1.5753433,-6.4259467,-2.1093462,-0.6213877,-1.9061469,0.37147427,0,CT-101_slide_3,CQ500-CT-101,1,0.79806612
-1.494964,0.21521093,-0.92881656,0.615278,-0.6143208,0.8009089,-2.4789019,0.6211425,0.31098223,0.7002614,0.5149567,1.7846122,2.3511589,-0.704321,0.6384046,1.4678745,1.841292,0.75865436,-0.8087183,0.35273996,2.0352566,0.16021459,2.2635136,-0.54417294,0.46248817,0.7225268,-0.49886137,-1.989296,-0.67507935,-0.58831084,-0.50493515,0.13184796,0,CT-101_slide_4,CQ500-CT-101,1,0.79806612
-1.5141623,0.096875966,-0.9170244,0.7484744,-0.8018599,0.95943266,-2.3254843,0.46852168,0.16717911,0.77650446,0.53912467,1.7088134,2.241193,-0.83491594,0.8035241,1.4156452,1.805184,0.59205425,-0.8656967,0.31581798,1.9432952,0.2901178,2.1273022,-0.6597008,0.49542686,0.80531824,-0.54690343,-1.9189702,-0.77332985,-0.50830364,-0.606064,0.003674148,0,CT-101_slide_5,CQ500-CT-101,1,0.79806612
-0.94292873,0.14047043,-0.5445723,0.40787756,-0.3313082,0.4167704,-1.3829176,0.07563011,0.10722793,0.34730005,0.27434385,1.018854,1.314077,-0.36368984,0.34190074,0.8266601,1.103633,0.3038065,-0.35382658,0.27372476,1.1498481,0.18276466,1.1903034,-0.33577973,0.1955961,0.38065642,-0.2724616,-1.1198381,-0.40977854,-0.2775338,-0.26461965,0.08961602,0,CT-101_slide_6,CQ500-CT-101,1,0.79806612
-1.8312274,0.27213174,-1.119379,0.5623167,-0.4930473,0.7576367,-2.963847,0.36948538,0.2687689,0.5784335,0.80019253,2.0934005,2.7402687,-0.76763016,0.5523666,1.7444886,2.1565547,0.6425152,-0.46301982,0.45549795,2.4615386,0.32932907,2.6947021,-0.61141175,0.29570594,0.83975637,-0.7614961,-2.3192763,-0.919741,-0.34005755,-0.6584004,0.0972469,0,CT-101_slide_7,CQ500-CT-101,1,0.79806612
-3.0643842,0.7266144,-1.8078127,0.7228021,-0.28870216,0.7877471,-4.9550767,0.5620847,0.53277296,0.5781575,0.8868192,3.398239,4.5011487,-0.7212765,0.5145066,3.009152,3.5344746,1.1792089,-0.41106474,0.87419295,4.1891365,0.18673332,4.492639,-0.49256802,0.31163165,0.89681435,-0.84351134,-3.6655862,-1.1245632,-0.5711102,-0.8358028,0.5320815,0,CT-101_slide_8,CQ500-CT-101,1,0.79806612
-1.6567459,0.57333255,-1.002267,0.28633094,0.12452375,0.17667139,-2.762844,0.3550376,0.4036784,0.11835423,0.32824925,1.823117,2.4702656,-0.11397282,0.019376028,1.665851,1.851934,0.75471723,-0.12548873,0.5336577,2.274892,-0.0625207,2.463858,-0.027981957,0.053060174,0.29428142,-0.32243502,-1.978641,-0.40716904,-0.35861742,-0.25202146,0.49880204,0,CT-101_slide_9,CQ500-CT-101,1,0.79806612
